"uid","nightuid","namedLocation","domainID","siteID","plotID","collectDate","endDate","samplingProtocolVersion","remarks","dataQF"
"0a65e2d8-0baa-461c-b9f1-75e49695db18","c772cfde-90d9-4787-81d2-a381677b9954","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-06-14","2018-06-14","NEON.DOC.000481vK",NA,NA
"07c0af81-5147-44c9-9d5d-007a2e3a95e0","b9e46090-0c24-4a69-a625-1a463558ca10","JERC_019.mammalGrid.mam","D03","JERC","JERC_019","2018-06-14","2018-06-14","NEON.DOC.000481vK",NA,NA
"a1d7a975-8233-4b6a-8a49-99ddeca308f3","2117c209-ac75-45c2-8ea1-61d0c08fa5a7","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-06-14","2018-06-14","NEON.DOC.000481vK",NA,NA
"dad66757-7a3e-4045-b98c-f85a4bfe3f72","2a5bee67-5fbe-41d6-8ee7-66db56273e10","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-06-14","2018-06-14","NEON.DOC.000481vK",NA,NA
"48e51c21-017d-4438-a0c8-17a128fb35af","e9249292-4019-4010-87c9-0cfda4c58182","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","2018-08-14","2018-08-14","NEON.DOC.000481vK",NA,NA
"21d7ac21-ed6b-4de1-80a2-ebd740958e54","768997c0-170c-48c3-bd0c-0a25ec8c74bb","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-08-14","2018-08-14","NEON.DOC.000481vK",NA,NA
"f8038d58-57d8-481c-abc6-39b496557999","9ba18767-5ab7-4339-b2a2-5cfabba1e99b","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-08-14","2018-08-14","NEON.DOC.000481vK",NA,NA
"56d88f48-751f-4978-b492-480360d8d6f9","1893dc70-63e7-4131-8145-dd7afc1a84a3","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-08-14","2018-08-14","NEON.DOC.000481vK",NA,NA
"b9a51b17-b28e-4e90-84e3-a8a608f17919","1b65c136-e5b5-4c81-99df-1db205d8c31b","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-08-15","2018-08-15","NEON.DOC.000481vK",NA,NA
"0b359d49-f7c3-4c6d-9184-24683b349f22","bcf478df-c2d1-4f59-b97b-ce82bb70a263","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-08-15","2018-08-15","NEON.DOC.000481vK",NA,NA
"b9dc35d3-1f2c-4783-8bc5-26c231302c0e","5fc87451-e89f-4a77-a323-8a5cfe23efdc","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-08-15","2018-08-15","NEON.DOC.000481vK",NA,NA
"8f676fc4-4600-4242-bb70-ecb3c2ecd131","ece0b050-ae4c-48dd-9550-e21439d3eb61","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","2018-08-15","2018-08-15","NEON.DOC.000481vK",NA,NA
"d70be431-ae98-402f-af1d-4c4c49297531","90c68be9-60b4-417e-ae1d-921bcb694c29","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-08-16","2018-08-16","NEON.DOC.000481vK",NA,NA
"8334132e-1cb3-4938-ab52-895d9bda44d9","ef5bc8f3-66d7-4d62-830d-a73df1bef1ab","JERC_019.mammalGrid.mam","D03","JERC","JERC_019","2018-08-16","2018-08-16","NEON.DOC.000481vK",NA,NA
"d9e88754-081d-4ab3-8d36-ebb9344ad90d","d25e78ae-125a-48fe-b915-ed1b54b8275c","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-08-16","2018-08-16","NEON.DOC.000481vK",NA,NA
"c1791ae9-18a5-4006-b62f-89ace3c7f31d","b0e84723-5395-432a-93d3-8a29baa768ea","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-08-16","2018-08-16","NEON.DOC.000481vK",NA,NA
"c70009e2-6bcc-470e-8d61-e5d25c00b016","457c50a2-f8c8-4c89-b540-92ecaa70f3af","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-09-11","2018-09-11","NEON.DOC.000481vK",NA,NA
"740be826-b507-4017-81d3-65fd49e11753","f40d5608-58ac-40f0-8c6c-6ec5de026298","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-09-11","2018-09-11","NEON.DOC.000481vK",NA,NA
